1,300,1,299
351,445,2,94
587,668,3,81
676,772,2,96
957,1025,3,68
1032,1122,2,90
1254,1324,3,70
1340,1431,2,91
1583,1656,3,73
1672,1755,4,83
1901,1971,3,70
1987,2300,1,313
2419,2504,4,85
2695,2771,3,76
2778,2853,4,75
3020,3099,3,79
3109,3183,4,74
3667,3736,3,69
3749,4079,1,330
4472,4541,3,69
4556,4647,2,91
5183,5514,1,331
5599,5670,4,71
5831,5908,3,77
5922,6030,2,108
6150,6223,3,73
6250,6579,1,329
6637,6745,2,108
6875,6955,3,80
6962,7029,4,67
7502,7563,4,61
8916,9083,3,167
10731,10795,3,64
7276,7475,1,199
7730,7940,1,210
13646,13897,1,251
14444,14643,1,199
18084,18319,1,235
7986,8202,1,216
8235,8440,1,205
8893,8959,3,66
9100,9300,1,200
9327,9395,4,68
9541,9602,4,61
10009,10227,1,218
10450,10538,4,88
10981,11294,1,313
11349,11677,1,328
11734,11851,2,117
11975,12052,3,77
12065,12172,2,107
12298,12373,3,75
12386,12469,4,83
12714,12829,2,115
12998,13057,3,59
13065,13144,4,79
15086,15247,1,161
13568,13634,3,66
16282,16327,3,45
16779,17018,1,239
18447,18704,1,257
19869,19967,4,98
20522,20685,4,163
20747,20857,2,110
21081,21194,2,113
22657,22762,3,105
22768,22866,2,98
23022,23106,3,84
23102,23198,4,96
23306,23427,3,121
23440,23525,4,85
23701,23803,3,102
23806,24129,1,323
24201,24302,4,101
24435,24550,3,115
24554,24639,4,85
24796,24896,3,100
24908,25005,4,97
25170,25246,3,76
25578,25649,4,71
25772,25976,1,204
25985,26060,4,75
26156,26239,3,83
26242,26473,1,231
26510,26749,1,239
26770,27010,1,240
27020,27283,1,263
27409,27488,4,79
27544,27613,3,69
27620,27834,1,214
27850,27937,2,87
28000,28067,3,67
28244,28576,1,332
28609,28694,4,85
28983,29034,3,51
29047,29138,4,91
29283,29366,3,83
29698,29771,3,73
29774,29866,2,92
29963,30041,3,78
30142,30207,3,65
30210,30297,4,87
30415,30496,3,81
30762,31077,1,315
31104,31420,1,316
31705,31776,3,71
31786,31882,4,96
32080,32152,3,72
32155,32490,1,335
32734,32834,3,100
32841,32962,2,121
33091,33168,3,77
33174,33279,2,105
33407,33500,3,93
33505,33842,1,337
33858,33978,2,120
34132,34196,3,64
34227,34555,1,328
34587,34716,2,129
34855,34927,3,72
34938,35062,4,124
35174,35244,3,70
35340,35665,1,325
35964,36066,4,102
36153,36233,3,80
36249,36330,4,81
36452,36522,3,70
36531,36627,4,96
36763,36845,3,82
36882,37211,1,329
37626,37724,4,98
37868,37936,3,68
38015,38111,4,96
38226,38309,3,83
38339,38417,4,78
38688,38797,3,109
38813,38899,4,86
39031,39110,3,79
39119,39441,1,322
39493,39621,2,128
39759,39841,3,82
39845,39935,4,90
40052,40131,3,79
40140,40254,4,114
40534,40622,3,88
40657,40804,2,147
40962,41066,3,104
41106,41284,2,178
41514,41591,3,77
41653,41780,4,127
41953,42022,3,69
42023,42134,4,111
42427,42533,4,106
43591,43655,3,64
43668,43767,4,99
43907,43984,3,77
43988,44097,2,109
44242,44321,3,79
44333,44428,4,95
44591,44656,3,65
44913,44982,3,69
